Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,Predicted,Actual
2022-05-19,1763.22998046875,1764.1099853515625,1800.3399658203125,1782.9200439453125,1798.3399658203125,1833.1800537109375,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1924.0582275390625,1966.75
2022-05-20,1764.1099853515625,1800.3399658203125,1782.9200439453125,1798.3399658203125,1833.1800537109375,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1936.4913330078125,1953.3900146484375
2022-05-23,1800.3399658203125,1782.9200439453125,1798.3399658203125,1833.1800537109375,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1944.1683349609375,1956.4200439453125
2022-05-24,1782.9200439453125,1798.3399658203125,1833.1800537109375,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1949.107666015625,1930.510009765625
2022-05-25,1798.3399658203125,1833.1800537109375,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1930.510009765625,1947.4486083984375,1887.52001953125
2022-05-26,1833.1800537109375,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1930.510009765625,1887.52001953125,1936.1192626953125,1882.9300537109375
2022-05-27,1878.72998046875,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1930.510009765625,1887.52001953125,1882.9300537109375,1922.029541015625,1885.9599609375
2022-05-31,1871.6099853515625,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1930.510009765625,1887.52001953125,1882.9300537109375,1885.9599609375,1909.442626953125,1912.18994140625
2022-06-01,1861.1800537109375,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1930.510009765625,1887.52001953125,1882.9300537109375,1885.9599609375,1912.18994140625,1903.97021484375,1846.1199951171875
2022-06-02,1895.0799560546875,1860.18994140625,1865.989990234375,1882.6600341796875,1866.5699462890625,1822.0999755859375,1765.6600341796875,1699.239990234375,1694.93994140625,1723.8900146484375,1671.22998046875,1675.9000244140625,1720.780029296875,1718.1700439453125,1736.1500244140625,1789.199951171875,1780.8900146484375,1740.5999755859375,1743.43994140625,1725.6099853515625,1743.1300048828125,1751.5799560546875,1758.9000244140625,1785.8800048828125,1786.3499755859375,1762.8599853515625,1746.1600341796875,1738.8900146484375,1737.5999755859375,1770.52001953125,1754.030029296875,1800.449951171875,1811.8299560546875,1831.280029296875,1810.760009765625,1810.699951171875,1784.8599853515625,1837.510009765625,1855.18994140625,1885.5899658203125,1880.9300537109375,1866.4000244140625,1901.93994140625,1900.3599853515625,1893.6400146484375,1888.72998046875,1882.280029296875,1923.030029296875,1918.47998046875,1952.3499755859375,1962.449951171875,1966.75,1953.3900146484375,1956.4200439453125,1930.510009765625,1887.52001953125,1882.9300537109375,1885.9599609375,1912.18994140625,1846.1199951171875,1891.4395751953125,1832.27001953125
